phenomenon_id,phenomenon,phenomenon_class,matrix_status,required_variables,declared_statistic,variable_availability,execution_classification,reason,original_assertion,primary_chart,secondary_chart,negative_control
TEMPORAL-071,Defect rate excursion lasting two to five days,TEMPORAL,ENRICH,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",at least one contiguous 2-5 day window has a defect rate above twice the baseline,C07,C08,a randomly time-shifted control must show no boundary
TEMPORAL-072,Gradual gauge deviation drift within a campaign,TEMPORAL,ENRICH,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",mean gauge deviation rises within a campaign and resets at the boundary,C18,C24,a randomly time-shifted control must show no boundary
TEMPORAL-073,Seasonal ambient effect on cooling rate,TEMPORAL,NEW,the time axis and the variable named in the assertion,step_change,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",cooling rate shows a low-amplitude trend across the window that is not a step,C19,C23,a randomly time-shifted control must show no boundary
TEMPORAL-074,Sequence-start transient in casting speed,TEMPORAL,ENRICH,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",casting speed in the first slab of a sequence differs from the sequence mean,C19,C21,a randomly time-shifted control must show no boundary
TEMPORAL-075,Post-breakout recovery period of reduced throughput,TEMPORAL,ENRICH,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",daily volume on breakout days is below the window mean,C05,C13,a randomly time-shifted control must show no boundary
TEMPORAL-076,Readiness dimensions improve as the window fills,TEMPORAL,EXISTING,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the readiness population dimension rises monotonically across the window,C31,C32,a randomly time-shifted control must show no boundary
OUTLIER-077,Single breakout event with a 4-6 hour production stoppage,OUTLIER,EXISTING,the event and the quantity named in the assertion,threshold_membership,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,exactly the breakout rows have production_impact_minutes above 240,C15,C16,the surrounding population must be unremarkable
OUTLIER-078,HSM cobble with partial buffer absorption,OUTLIER,ENRICH,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",at least one cobble row has stopped_minutes above production_impact_minutes,C15,C13,the surrounding population must be unremarkable
OUTLIER-079,A heat with chemistry far outside its grade band,OUTLIER,NEW,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",at least one heat exceeds a grade maximum by more than 20 percent of the band width,C12,C24,the surrounding population must be unremarkable
OUTLIER-080,A coil with an exceptional defect cluster,OUTLIER,EXISTING,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,at least one coil carries more than five times the mean defect count,C11,C24,the surrounding population must be unremarkable
OUTLIER-081,A slab with an anomalous weight against its dimensions,OUTLIER,ENRICH,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried","no slab violates the density cross-check, and the outlier table surfaces the nearest cases",C24,C06,the surrounding population must be unremarkable
OUTLIER-082,A casting sequence aborted early,OUTLIER,ENRICH,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",at least one sequence has materially fewer slabs than the sequence mean,C06,C05,the surrounding population must be unremarkable
OUTLIER-083,A single shift with an abnormal parameter excursion,OUTLIER,ENRICH,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",at least one shift shows a parameter mean more than three standard deviations from the overall mean,C22,C19,the surrounding population must be unremarkable
OUTLIER-084,A lubrication viscosity excursion outside the window,OUTLIER,EXISTING,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,at least one campaign period has viscosity outside 33-50 cSt,C26,C23,the surrounding population must be unremarkable
OUTLIER-085,A QA sample failing on two mechanical properties at once,OUTLIER,EXISTING,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,at least one QA sample fails both yield and UTS,C30,C35,the surrounding population must be unremarkable
OUTLIER-086,An equipment stoppage fully absorbed by buffer - zero production impact,OUTLIER,ENRICH,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",at least one row has stopped_minutes above zero and production_impact_minutes equal to zero,C15,C16,the surrounding population must be unremarkable
OUTLIER-087,Comparable units behind a finding are individually drillable,OUTLIER,EXISTING,the event and the quantity named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,"selecting a finding lists named individual coils and heats, each resolving to its source rows",C35,C24,the surrounding population must be unremarkable
NEGATIVE_CONTROL-088,SCRATCH does not correlate with casting speed,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,rate_ratio,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SCRATCH exposed/baseline ratio is between 0.8 and 1.25,C27,C25,this row IS the negative control
NEGATIVE_CONTROL-089,SCRATCH does not correlate with superheat,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SCRATCH ratio across superheat quartiles stays within 0.8 to 1.25,C28,C25,this row IS the negative control
NEGATIVE_CONTROL-090,SCRATCH does not correlate with finishing temperature,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SCRATCH ratio across finishing-temperature quartiles stays within 0.8 to 1.25,C28,C25,this row IS the negative control
NEGATIVE_CONTROL-091,DENT does not correlate with roll campaign age,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the DENT ratio across campaign-age quartiles stays within 0.8 to 1.25,C18,C25,this row IS the negative control
NEGATIVE_CONTROL-092,DENT does not correlate with scrap ratio,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the DENT ratio across scrap-ratio quartiles stays within 0.8 to 1.25,C26,C25,this row IS the negative control
NEGATIVE_CONTROL-093,SEAM does not correlate with sulfur content,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SEAM ratio across sulfur quartiles stays within 0.8 to 1.25,C26,C25,this row IS the negative control
NEGATIVE_CONTROL-094,SEAM does not correlate with gauge,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SEAM ratio across gauge terciles stays within 0.8 to 1.25,C25,C26,this row IS the negative control
NEGATIVE_CONTROL-095,SCRATCH does not differ by shift,NEGATIVE_CONTROL,ENRICH,the control defect code and the exposure variable named in the assertion,threshold_membership,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the SCRATCH rate does not differ across shifts at p below 0.05,C22,C02,this row IS the negative control
NEGATIVE_CONTROL-096,DENT does not differ by equipment,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,threshold_membership,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the DENT rate does not differ across equipment at p below 0.05,C10,C25,this row IS the negative control
NEGATIVE_CONTROL-097,SEAM does not differ by grade,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,threshold_membership,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the SEAM rate does not differ across grades at p below 0.05,C09,C25,this row IS the negative control
NEGATIVE_CONTROL-098,A randomly permuted grade label destroys the grade effect,NEGATIVE_CONTROL,NEW,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",permuting the grade label removes the conditioned effect entirely,C29,C25,this row IS the negative control
NEGATIVE_CONTROL-099,A randomly permuted shift label destroys the shift variance effect,NEGATIVE_CONTROL,NEW,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",permuting the shift label removes the variance difference,C22,C29,this row IS the negative control
NEGATIVE_CONTROL-100,A randomly permuted equipment label destroys the equipment effect,NEGATIVE_CONTROL,NEW,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",permuting the equipment label removes the equipment effect,C10,C25,this row IS the negative control
NEGATIVE_CONTROL-101,An unrelated chemistry element shows no association with any defect,NEGATIVE_CONTROL,NEW,the control defect code and the exposure variable named in the assertion,fdr_significance,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",the named control element fails BH correction against every defect code,C25,C26,this row IS the negative control
NEGATIVE_CONTROL-102,Ambient periodic noise is rejected under FDR,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,fdr_significance,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,a periodic noise feature fails the BH correction at q=0.05,C25,C30,this row IS the negative control
NEGATIVE_CONTROL-103,A sensor hash artefact is rejected under FDR,NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,fdr_significance,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,a hash-artefact feature fails the BH correction at q=0.05,C25,C30,this row IS the negative control
NEGATIVE_CONTROL-104,"A collinear duplicate of a true driver is reported as collinear, not as a second driver",NEGATIVE_CONTROL,EXISTING,the control defect code and the exposure variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,the collinear feature is flagged rather than ranked as an independent contributor,C26,C34,this row IS the negative control
