phenomenon_class,phenomenon,source_systems,population,variables,intended_effect,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
TEMPORAL,Sequence-start transient in casting speed,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C19,C21,P4,a transient at each sequence start,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,casting speed in the first slab of a sequence differs from the sequence mean
TEMPORAL,Post-breakout recovery period of reduced throughput,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C05,C13,P1,reduced throughput for hours after a breakout,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,daily volume on breakout days is below the window mean
TEMPORAL,Readiness dimensions improve as the window fills,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C31,C32,P6,readiness rises with accumulated population,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,the readiness population dimension rises monotonically across the window
OUTLIER,Single breakout event with a 4-6 hour production stoppage,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C15,C16,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,exactly the breakout rows have production_impact_minutes above 240
OUTLIER,HSM cobble with partial buffer absorption,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C15,C13,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,at least one cobble row has stopped_minutes above production_impact_minutes
OUTLIER,A heat with chemistry far outside its grade band,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C12,C24,P2,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,NEW,at least one heat exceeds a grade maximum by more than 20 percent of the band width
OUTLIER,A coil with an exceptional defect cluster,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C11,C24,P2,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,at least one coil carries more than five times the mean defect count
OUTLIER,A slab with an anomalous weight against its dimensions,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C24,C06,P4,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,"no slab violates the density cross-check, and the outlier table surfaces the nearest cases"
OUTLIER,A casting sequence aborted early,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C06,C05,P1,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,at least one sequence has materially fewer slabs than the sequence mean
OUTLIER,A single shift with an abnormal parameter excursion,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C22,C19,P4,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,at least one shift shows a parameter mean more than three standard deviations from the overall mean
OUTLIER,A lubrication viscosity excursion outside the window,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C26,C23,P5,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,at least one campaign period has viscosity outside 33-50 cSt
OUTLIER,A QA sample failing on two mechanical properties at once,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C30,C35,P6,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,at least one QA sample fails both yield and UTS
OUTLIER,An equipment stoppage fully absorbed by buffer - zero production impact,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C15,C16,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,at least one row has stopped_minutes above zero and production_impact_minutes equal to zero
OUTLIER,Comparable units behind a finding are individually drillable,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",event rarity,C35,C24,P6,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,"selecting a finding lists named individual coils and heats, each resolving to its source rows"
NEGATIVE_CONTROL,SCRATCH does not correlate with casting speed,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C27,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SCRATCH exposed/baseline ratio is between 0.8 and 1.25
NEGATIVE_CONTROL,SCRATCH does not correlate with superheat,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C28,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SCRATCH ratio across superheat quartiles stays within 0.8 to 1.25
NEGATIVE_CONTROL,SCRATCH does not correlate with finishing temperature,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C28,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SCRATCH ratio across finishing-temperature quartiles stays within 0.8 to 1.25
NEGATIVE_CONTROL,DENT does not correlate with roll campaign age,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C18,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the DENT ratio across campaign-age quartiles stays within 0.8 to 1.25
NEGATIVE_CONTROL,DENT does not correlate with scrap ratio,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C26,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the DENT ratio across scrap-ratio quartiles stays within 0.8 to 1.25
NEGATIVE_CONTROL,SEAM does not correlate with sulfur content,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C26,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SEAM ratio across sulfur quartiles stays within 0.8 to 1.25
NEGATIVE_CONTROL,SEAM does not correlate with gauge,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C25,C26,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SEAM ratio across gauge terciles stays within 0.8 to 1.25
NEGATIVE_CONTROL,SCRATCH does not differ by shift,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C22,C02,P5,"fails significance, which is the required result",this row IS the negative control,coil only,ENRICH,the SCRATCH rate does not differ across shifts at p below 0.05
NEGATIVE_CONTROL,DENT does not differ by equipment,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C10,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the DENT rate does not differ across equipment at p below 0.05
NEGATIVE_CONTROL,SEAM does not differ by grade,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C09,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the SEAM rate does not differ across grades at p below 0.05
NEGATIVE_CONTROL,A randomly permuted grade label destroys the grade effect,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C29,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,permuting the grade label removes the conditioned effect entirely
NEGATIVE_CONTROL,A randomly permuted shift label destroys the shift variance effect,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C22,C29,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,permuting the shift label removes the variance difference
NEGATIVE_CONTROL,A randomly permuted equipment label destroys the equipment effect,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C10,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,permuting the equipment label removes the equipment effect
NEGATIVE_CONTROL,An unrelated chemistry element shows no association with any defect,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C25,C26,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,the named control element fails BH correction against every defect code
NEGATIVE_CONTROL,Ambient periodic noise is rejected under FDR,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C25,C30,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,a periodic noise feature fails the BH correction at q=0.05
NEGATIVE_CONTROL,A sensor hash artefact is rejected under FDR,Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C25,C30,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,a hash-artefact feature fails the BH correction at q=0.05
NEGATIVE_CONTROL,"A collinear duplicate of a true driver is reported as collinear, not as a second driver",Parsytec plus the source of the exposure variable,"18,661 coils",the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,pure noise,C26,C34,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,the collinear feature is flagged rather than ranked as an independent contributor
