phenomenon_id,phenomenon_class,phenomenon,source_systems,population,minimum_population,variables,intended_effect,expected_direction,expected_effect_band,conditioning_variable,expected_after_conditioning,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
PH-055,REGIME,Crew rotation pattern is visible in production volume,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C02,C01,P1,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a repeating pattern across the rota,a random crew relabel must flatten it,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: production volume shows a repeating pattern aligned to the crew rota
PH-056,REGIME,Shift changeover shows a short throughput dip,"Meltshop, Caster",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C05,C01,P1,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a small reproducible dip at handover,mid-shift must be flat,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: mean cycle time in the 30 minutes after a changeover exceeds the shift mean
PH-057,REGIME,Downtime response time differs by shift,Downtime,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C14,C16,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. one shift restores faster,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: mean stopped_minutes per event differs across shifts
PH-058,REGIME,First heat after maintenance: raised power-on time,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C17,C05,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. sharply raised, then decaying",steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: power_on_min for heat 1 after a maintenance event exceeds the steady-campaign mean by at least 15 percent
PH-059,REGIME,First heat after maintenance: raised energy per tonne,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C17,C19,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. raised, decaying across three to five heats",steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: electricity_mwh per tonne decays monotonically across heats 1 to 5 after a maintenance event
PH-060,REGIME,First heat after maintenance: raised temperature variance,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C17,C20,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. variance raised then recovering,steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: tap temperature variance in heats 1 to 3 after maintenance exceeds the steady-campaign variance
PH-061,REGIME,EAF warm-up recovery shape,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C17,C18,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. one of four distinct recovery shapes,-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the EAF warm-up recovery curve differs in shape from the ladle reline curve
PH-062,REGIME,Ladle refractory campaign reset shape,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C17,C18,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a different shape from the EAF warm-up,-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the ladle reline recovery decays over a different number of heats than the EAF warm-up
PH-063,REGIME,HSM roll change improves surface quality initially,"HSM, Parsytec",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C18,C07,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. quality better immediately after a roll change,-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: defect rate in the first 200 coils after a roll change is below the campaign mean
PH-064,REGIME,Ageing roll campaign raises roll-mark and wavy-edge rates,"HSM, Parsytec",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C18,C26,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. gradual degradation, not a step",a fresh campaign must be flat,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: ROLL_MARK and WAVY_EDGE rates rise monotonically across campaign-age quartiles
PH-065,REGIME,Tundish age rises across a casting sequence,Caster,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C18,C19,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. monotonic within a sequence, resetting between",-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: tundish_age_min rises monotonically within a sequence and resets at sequence start
PH-066,REGIME,Refractory age effect on temperature loss grows across a campaign,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,none,none,routine operating variation,C18,C19,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. gradual, not a step",-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: temperature loss rises monotonically across refractory-age quartiles
PH-067,TEMPORAL,Mid-month practice change shifts casting speed distribution,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C19,C20,P4,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a regime boundary, not drift",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,NEW,PREDECLARED BEFORE GENERATION: a trend chart shows a step whose date matches a recorded maintenance or practice event
PH-068,TEMPORAL,Roll change creates a visible regime boundary in defect rate,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C07,C18,P2,a step at a known date,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,PREDECLARED BEFORE GENERATION: the defect-rate step date matches a roll change recorded in the downtime source
PH-069,TEMPORAL,Weekly production rhythm - weekday against weekend,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C01,C02,P1,a repeating weekly shape,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,PREDECLARED BEFORE GENERATION: weekend daily volume is below the weekday mean
PH-070,TEMPORAL,Monthly throughput trend across the three-month window,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C01,C05,P1,"a slow trend, not noise",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,PREDECLARED BEFORE GENERATION: weekly throughput shows a monotonic component across the window
PH-071,TEMPORAL,Defect rate excursion lasting two to five days,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C07,C08,P2,"a bounded excursion, not a permanent shift",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,PREDECLARED BEFORE GENERATION: at least one contiguous 2-5 day window has a defect rate above twice the baseline
PH-072,TEMPORAL,Gradual gauge deviation drift within a campaign,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C18,C24,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. drift, then a reset at campaign change",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,NEW,PREDECLARED BEFORE GENERATION: mean gauge deviation rises within a campaign and resets at the boundary
PH-073,TEMPORAL,Seasonal ambient effect on cooling rate,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C19,C23,P4,a slow low-amplitude component,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,NEW,PREDECLARED BEFORE GENERATION: cooling rate shows a low-amplitude trend across the window that is not a step
PH-074,TEMPORAL,Sequence-start transient in casting speed,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C19,C21,P4,a transient at each sequence start,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,PREDECLARED BEFORE GENERATION: casting speed in the first slab of a sequence differs from the sequence mean
PH-075,TEMPORAL,Post-breakout recovery period of reduced throughput,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C05,C13,P1,reduced throughput for hours after a breakout,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,PREDECLARED BEFORE GENERATION: daily volume on breakout days is below the window mean
PH-076,TEMPORAL,Readiness dimensions improve as the window fills,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- not yet read; see inventory section 9,200,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,positive,1.5x to 4.0x,none,none,normal operating variation,C31,C32,P6,readiness rises with accumulated population,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,PREDECLARED BEFORE GENERATION: the readiness population dimension rises monotonically across the window
PH-077,OUTLIER,Single breakout event with a 4-6 hour production stoppage,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C15,C16,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,PREDECLARED BEFORE GENERATION: exactly the breakout rows have production_impact_minutes above 240
PH-078,OUTLIER,HSM cobble with partial buffer absorption,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C15,C13,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,PREDECLARED BEFORE GENERATION: at least one cobble row has stopped_minutes above production_impact_minutes
PH-079,OUTLIER,A heat with chemistry far outside its grade band,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C12,C24,P2,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,NEW,PREDECLARED BEFORE GENERATION: at least one heat exceeds a grade maximum by more than 20 percent of the band width
PH-080,OUTLIER,A coil with an exceptional defect cluster,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C11,C24,P2,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,PREDECLARED BEFORE GENERATION: at least one coil carries more than five times the mean defect count
PH-081,OUTLIER,A slab with an anomalous weight against its dimensions,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C24,C06,P4,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,"PREDECLARED BEFORE GENERATION: no slab violates the density cross-check, and the outlier table surfaces the nearest cases"
PH-082,OUTLIER,A casting sequence aborted early,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C06,C05,P1,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,PREDECLARED BEFORE GENERATION: at least one sequence has materially fewer slabs than the sequence mean
PH-083,OUTLIER,A single shift with an abnormal parameter excursion,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C22,C19,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,NEW,PREDECLARED BEFORE GENERATION: at least one shift shows a parameter mean more than three standard deviations from the overall mean
PH-084,OUTLIER,A lubrication viscosity excursion outside the window,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C26,C23,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,NEW,PREDECLARED BEFORE GENERATION: at least one campaign period has viscosity outside 33-50 cSt
PH-085,OUTLIER,A QA sample failing on two mechanical properties at once,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C30,C35,P6,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,PREDECLARED BEFORE GENERATION: at least one QA sample fails both yield and UTS
PH-086,OUTLIER,An equipment stoppage fully absorbed by buffer - zero production impact,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C15,C16,P3,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,ENRICH,PREDECLARED BEFORE GENERATION: at least one row has stopped_minutes above zero and production_impact_minutes equal to zero
PH-087,OUTLIER,Comparable units behind a finding are individually drillable,multiple,MEASURE: SELECT count(*) FROM the event set named in the assertion -- not yet read; see inventory section 9,200,the event and the quantity named in the assertion,"a short, bounded, individually inspectable event",positive,1.5x to 4.0x,none,none,event rarity,C35,C24,P6,the event is individually drillable to its source rows,the surrounding population must be unremarkable,coil or heat as the assertion names,EXISTING,"PREDECLARED BEFORE GENERATION: selecting a finding lists named individual coils and heats, each resolving to its source rows"
PH-088,NEGATIVE_CONTROL,SCRATCH does not correlate with casting speed,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C27,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SCRATCH exposed/baseline ratio is between 0.8 and 1.25
PH-089,NEGATIVE_CONTROL,SCRATCH does not correlate with superheat,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C28,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SCRATCH ratio across superheat quartiles stays within 0.8 to 1.25
PH-090,NEGATIVE_CONTROL,SCRATCH does not correlate with finishing temperature,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C28,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SCRATCH ratio across finishing-temperature quartiles stays within 0.8 to 1.25
PH-091,NEGATIVE_CONTROL,DENT does not correlate with roll campaign age,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C18,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the DENT ratio across campaign-age quartiles stays within 0.8 to 1.25
PH-092,NEGATIVE_CONTROL,DENT does not correlate with scrap ratio,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C26,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the DENT ratio across scrap-ratio quartiles stays within 0.8 to 1.25
PH-093,NEGATIVE_CONTROL,SEAM does not correlate with sulfur content,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C26,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SEAM ratio across sulfur quartiles stays within 0.8 to 1.25
PH-094,NEGATIVE_CONTROL,SEAM does not correlate with gauge,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C25,C26,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SEAM ratio across gauge terciles stays within 0.8 to 1.25
PH-095,NEGATIVE_CONTROL,SCRATCH does not differ by shift,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C22,C02,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SCRATCH rate does not differ across shifts at p below 0.05
PH-096,NEGATIVE_CONTROL,DENT does not differ by equipment,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C10,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the DENT rate does not differ across equipment at p below 0.05
PH-097,NEGATIVE_CONTROL,SEAM does not differ by grade,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C09,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the SEAM rate does not differ across grades at p below 0.05
PH-098,NEGATIVE_CONTROL,A randomly permuted grade label destroys the grade effect,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C29,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. permuting the grade label removes the conditioned effect entirely
PH-099,NEGATIVE_CONTROL,A randomly permuted shift label destroys the shift variance effect,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C22,C29,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. permuting the shift label removes the variance difference
PH-100,NEGATIVE_CONTROL,A randomly permuted equipment label destroys the equipment effect,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C10,C25,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. permuting the equipment label removes the equipment effect
PH-101,NEGATIVE_CONTROL,An unrelated chemistry element shows no association with any defect,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C25,C26,P5,"fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the named control element fails BH correction against every defect code
PH-102,NEGATIVE_CONTROL,Ambient periodic noise is rejected under FDR,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C25,C30,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. a periodic noise feature fails the BH correction at q=0.05
PH-103,NEGATIVE_CONTROL,A sensor hash artefact is rejected under FDR,Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C25,C30,P5,"fails significance, which is the required result",this row IS the negative control,coil only,EXISTING,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. a hash-artefact feature fails the BH correction at q=0.05
PH-104,NEGATIVE_CONTROL,"A collinear duplicate of a true driver is reported as collinear, not as a second driver",Parsytec plus the source of the exposure variable,"5,670 coils (measured 03-Aug)",150,the control defect code and the exposure variable named in the assertion,NO association - this is the null that makes the positives credible,none,0.80x to 1.25x - NO effect,none,none,pure noise,C26,C34,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. fails significance, which is the required result",this row IS the negative control,coil only,NEW,PREDECLARED: the control ratio stays inside 0.80x to 1.25x and fails significance after Benjamini-Hochberg at q=0.05. the collinear feature is flagged rather than ranked as an independent contributor
